Index,Filename,Prefix (Class),Full Path
1,birds_04.wav,birds,classification\data\test_audio_files\birds_04.wav
2,birds_06.wav,birds,classification\data\test_audio_files\birds_06.wav
3,birds_09.wav,birds,classification\data\test_audio_files\birds_09.wav
4,birds_12.wav,birds,classification\data\test_audio_files\birds_12.wav
5,birds_15.wav,birds,classification\data\test_audio_files\birds_15.wav
6,birds_16.wav,birds,classification\data\test_audio_files\birds_16.wav
7,birds_19.wav,birds,classification\data\test_audio_files\birds_19.wav
8,birds_25.wav,birds,classification\data\test_audio_files\birds_25.wav
9,birds_26.wav,birds,classification\data\test_audio_files\birds_26.wav
10,birds_27.wav,birds,classification\data\test_audio_files\birds_27.wav
11,birds_37.wav,birds,classification\data\test_audio_files\birds_37.wav
12,birds_39.wav,birds,classification\data\test_audio_files\birds_39.wav
13,chainsaw_04.wav,chainsaw,classification\data\test_audio_files\chainsaw_04.wav
14,chainsaw_06.wav,chainsaw,classification\data\test_audio_files\chainsaw_06.wav
15,chainsaw_09.wav,chainsaw,classification\data\test_audio_files\chainsaw_09.wav
16,chainsaw_12.wav,chainsaw,classification\data\test_audio_files\chainsaw_12.wav
17,chainsaw_15.wav,chainsaw,classification\data\test_audio_files\chainsaw_15.wav
18,chainsaw_16.wav,chainsaw,classification\data\test_audio_files\chainsaw_16.wav
19,chainsaw_19.wav,chainsaw,classification\data\test_audio_files\chainsaw_19.wav
20,chainsaw_25.wav,chainsaw,classification\data\test_audio_files\chainsaw_25.wav
21,chainsaw_26.wav,chainsaw,classification\data\test_audio_files\chainsaw_26.wav
22,chainsaw_27.wav,chainsaw,classification\data\test_audio_files\chainsaw_27.wav
23,chainsaw_37.wav,chainsaw,classification\data\test_audio_files\chainsaw_37.wav
24,chainsaw_39.wav,chainsaw,classification\data\test_audio_files\chainsaw_39.wav
25,fire_04.wav,fire,classification\data\test_audio_files\fire_04.wav
26,fire_06.wav,fire,classification\data\test_audio_files\fire_06.wav
27,fire_09.wav,fire,classification\data\test_audio_files\fire_09.wav
28,fire_12.wav,fire,classification\data\test_audio_files\fire_12.wav
29,fire_15.wav,fire,classification\data\test_audio_files\fire_15.wav
30,fire_16.wav,fire,classification\data\test_audio_files\fire_16.wav
31,fire_19.wav,fire,classification\data\test_audio_files\fire_19.wav
32,fire_25.wav,fire,classification\data\test_audio_files\fire_25.wav
33,fire_26.wav,fire,classification\data\test_audio_files\fire_26.wav
34,fire_27.wav,fire,classification\data\test_audio_files\fire_27.wav
35,fire_37.wav,fire,classification\data\test_audio_files\fire_37.wav
36,fire_39.wav,fire,classification\data\test_audio_files\fire_39.wav
37,handsaw_04.wav,handsaw,classification\data\test_audio_files\handsaw_04.wav
38,handsaw_06.wav,handsaw,classification\data\test_audio_files\handsaw_06.wav
39,handsaw_09.wav,handsaw,classification\data\test_audio_files\handsaw_09.wav
40,handsaw_12.wav,handsaw,classification\data\test_audio_files\handsaw_12.wav
41,handsaw_15.wav,handsaw,classification\data\test_audio_files\handsaw_15.wav
42,handsaw_16.wav,handsaw,classification\data\test_audio_files\handsaw_16.wav
43,handsaw_19.wav,handsaw,classification\data\test_audio_files\handsaw_19.wav
44,handsaw_25.wav,handsaw,classification\data\test_audio_files\handsaw_25.wav
45,handsaw_26.wav,handsaw,classification\data\test_audio_files\handsaw_26.wav
46,handsaw_27.wav,handsaw,classification\data\test_audio_files\handsaw_27.wav
47,handsaw_37.wav,handsaw,classification\data\test_audio_files\handsaw_37.wav
48,handsaw_39.wav,handsaw,classification\data\test_audio_files\handsaw_39.wav
49,helicopter_04.wav,helicopter,classification\data\test_audio_files\helicopter_04.wav
50,helicopter_06.wav,helicopter,classification\data\test_audio_files\helicopter_06.wav
51,helicopter_09.wav,helicopter,classification\data\test_audio_files\helicopter_09.wav
52,helicopter_12.wav,helicopter,classification\data\test_audio_files\helicopter_12.wav
53,helicopter_15.wav,helicopter,classification\data\test_audio_files\helicopter_15.wav
54,helicopter_16.wav,helicopter,classification\data\test_audio_files\helicopter_16.wav
55,helicopter_19.wav,helicopter,classification\data\test_audio_files\helicopter_19.wav
56,helicopter_25.wav,helicopter,classification\data\test_audio_files\helicopter_25.wav
57,helicopter_26.wav,helicopter,classification\data\test_audio_files\helicopter_26.wav
58,helicopter_27.wav,helicopter,classification\data\test_audio_files\helicopter_27.wav
59,helicopter_37.wav,helicopter,classification\data\test_audio_files\helicopter_37.wav
60,helicopter_39.wav,helicopter,classification\data\test_audio_files\helicopter_39.wav
