Index,Filename,Prefix (Class),Full Path
1,birds_04.wav,birds,classification\data\test_audio_files\birds_04.wav
2,birds_06.wav,birds,classification\data\test_audio_files\birds_06.wav
3,birds_09.wav,birds,classification\data\test_audio_files\birds_09.wav
4,birds_12.wav,birds,classification\data\test_audio_files\birds_12.wav
5,birds_15.wav,birds,classification\data\test_audio_files\birds_15.wav
6,birds_16.wav,birds,classification\data\test_audio_files\birds_16.wav
7,birds_19.wav,birds,classification\data\test_audio_files\birds_19.wav
8,birds_25.wav,birds,classification\data\test_audio_files\birds_25.wav
9,birds_26.wav,birds,classification\data\test_audio_files\birds_26.wav
10,birds_27.wav,birds,classification\data\test_audio_files\birds_27.wav
11,birds_37.wav,birds,classification\data\test_audio_files\birds_37.wav
12,birds_39.wav,birds,classification\data\test_audio_files\birds_39.wav
13,chainsaw_04.wav,chainsaw,classification\data\test_audio_files\chainsaw_04.wav
14,chainsaw_06.wav,chainsaw,classification\data\test_audio_files\chainsaw_06.wav
15,chainsaw_09.wav,chainsaw,classification\data\test_audio_files\chainsaw_09.wav
16,chainsaw_12.wav,chainsaw,classification\data\test_audio_files\chainsaw_12.wav
17,chainsaw_15.wav,chainsaw,classification\data\test_audio_files\chainsaw_15.wav
18,chainsaw_16.wav,chainsaw,classification\data\test_audio_files\chainsaw_16.wav
19,chainsaw_19.wav,chainsaw,classification\data\test_audio_files\chainsaw_19.wav
20,chainsaw_25.wav,chainsaw,classification\data\test_audio_files\chainsaw_25.wav
21,chainsaw_26.wav,chainsaw,classification\data\test_audio_files\chainsaw_26.wav
22,chainsaw_27.wav,chainsaw,classification\data\test_audio_files\chainsaw_27.wav
23,chainsaw_37.wav,chainsaw,classification\data\test_audio_files\chainsaw_37.wav
24,chainsaw_39.wav,chainsaw,classification\data\test_audio_files\chainsaw_39.wav
